QUALIFICAÇÃO;NOME;PORTARIA;DATA
Suboficial QSS BEI;Adriano Nogueira de Araujo;2/SCGC;06/01/2020
Suboficial QSS BCO;Adriano Okamoto;1172/SCC;15/12/1987
Segundo-Sargento QSS BMT;Adriano Pereira Camilo;189/SC;07/02/2013
Suboficial QSS BCO;Adriano Ricardo da Silva Barroso;29/SCGC;29/01/2016
Cabo QCB BSP;Adriano Rossetti de Souza;29/SCGC;29/01/2016
Segundo-Sargento QSS SEM;Adriano Santos Da Silva;1.659/SCGC;21/12/2016
Suboficial QSS BMA;Adriano Soares Ballester;130/SCGC;03/02/2014
Cabo QCB SAD;Adriano Soares da Silva;1813/SCC;20/12/1984
Primeiro-Sargento QSS BCT;Adriano Vita do Nascimento;130/SCGC;03/02/2014
Primeiro-Sargento QSS BSP;Adrielson Vagner dos Santos Chaves;182/SCGC;18/02/2015
Suboficial QSS BEV;Adroaldo de Castro Galvão Júnior;113/SC;22/02/2001
Suboficial QSS BET;Adroaldo Soares de Souza Lima;141/SC;19/02/2002
Suboficial QSS SAD;Adrovano Machado da Silveira;968-A/SCC;14/12/1990
Suboficial QSS BMA;Adson Jorge Franklin Silva;193/SCC;20/02/1995
Primeiro-Sargento QSS SEL;Adson José de Albuquerque;161/SC;21/02/2003
Suboficial QSS BMA;Adson José Piletti;106/SC;21/02/2007
Senhor;Advaldo Ribeiro Azevedo Caldas;204/SC;22/02/2005
Suboficial QSS BET;Adverto Souza Filho;247/SC;06/03/2006
Suboficial QSS BCO;Adyr Ignácio Cardoso;100/SCC;20/02/1997
Suboficial QSS BMB;Aécio Ramalho;047/SCC;20/01/1981
Senhor;Aércio Rafael Chambule (Moçambique);2/SCGC;06/01/2020
Suboficial BMA;Aerton Crispiniano dos Santos;107/SC;25/02/2010
Terceiro-Sargento QTA TAR;Aerton Rodrigues Moitinho;130/SCGC;03/02/2014
Cabo QCB SAD;Aetes Fonseca Dantas;193/SCC;20/02/1995
Primeiro-Tenente QOEA;Affonso Ragnev;1813/SCC;20/12/1984
Suboficial QSS BEI;Afonso Celso Silva de Souza;130/SCGC;03/02/2014
Suboficial QSS SAD;Afonso Darci Carvalho de Azevedo;1194/SCC;15/12/1986
